"division_area","2019","2020","2021","2022","2023","2024"
"ВІННИЦЬКА","447767","546421","543080","569026","638346","248693"
"ВОЛИНСЬКА","219611","267484","308445","338298","391065","153069"
"ДНІПРОПЕТРОВСЬКА","1061577","1227364","1149576","1247317","1356241","517190"
"ДОНЕЦЬКА","481416","623708","608756","129574","139339","61591"
"ЖИТОМИРСЬКА","382910","476416","488276","452982","526728","205520"
"ЗАКАРПАТСЬКА","238472","333845","360875","375943","405781","161883"
"ЗАПОРІЗЬКА","489876","601954","605924","348465","346192","137888"
"ІВАНО-ФРАНКІВСЬКА","245351","327609","371937","399655","446128","181592"
"КИЇВСЬКА","345412","427717","438958","387735","503826","200590"
"КІРОВОГРАДСЬКА","219186","292719","329901","335565","388381","149775"
"ЛУГАНСЬКА","172939","242738","248393","37363",NULL,NULL
"ЛЬВІВСЬКА","590171","733754","741295","733116","821483","326776"
"М.КИЇВ","501952","557114","560905","535558","737265","301635"
"МИКОЛАЇВСЬКА","317925","423425","420087","282246","350850","143141"
"ОДЕСЬКА","373115","519680","528955","522367","618326","241861"
"ПОЛТАВСЬКА","376728","482999","500554","524349","607168","232287"
"РІВНЕНСЬКА","230818","293903","333626","347047","386955","151766"
"СУМСЬКА","285924","385256","427768","340506","455460","177118"
"ТЕРНОПІЛЬСЬКА","275834","368540","397036","388373","427799","171483"
"ХАРКІВСЬКА","731636","917921","914015","484764","760297","301742"
"ХЕРСОНСЬКА","230313","312419","316729","50433","47689","26712"
"ХМЕЛЬНИЦЬКА","351099","476570","513405","531378","601427","237378"
"ЧЕРКАСЬКА","301730","359068","387341","402158","459176","178558"
"ЧЕРНІВЕЦЬКА","168952","223363","243868","260407","280527","112341"
"ЧЕРНІГІВСЬКА","248903","329512","348921","277656","361920","141812"
